frame_id,session_id,object_type,source_label,reason,unknown_keypoint_indices,unknown_keypoint_count
wood_184309:000372,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000372.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000432,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000432.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000492,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000492.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000552,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000552.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000612,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000612.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000674,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000674.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000734,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000734.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000804,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000804.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000864,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000864.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000925,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000925.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:000987,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/000987.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:001081,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/001081.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:001141,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/001141.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
wood_184309:001201,wood_184309,wood_small_80x59x14,challenge/data/01_real/manual_gt/wood_pallet_20260618_184309_manual_gt/001201.json,LEGACY_VISIBILITY_AND_PROVENANCE_UNKNOWN,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9
